Sharpe Ratio,Annualized Return (%),Max Drawdown (%),Win Rate (%),Profit Factor,Total Trades,rsi_entry_max,stop_loss_pct,take_profit_pct,position_size_pct,max_positions
0.5673468489617539,6.851112267434818,13.377158255956942,24.444444444444443,2.0677562356556742,45,70,3,25,25,3
0.5653253047924649,3.2962827544001905,5.2384170810600645,35.714285714285715,2.47627205076182,14,75,5,25,25,1
0.5653211000252985,3.296257248947737,6.504812523806333,35.714285714285715,2.427135252421462,14,65,5,25,25,1
0.5651767407661857,4.39557310342218,8.513246939404052,35.714285714285715,2.3873932119450005,14,65,5,25,33,1
0.5614774472139306,3.1519819233914923,6.870765252135541,43.75,2.069983775207861,16,70,5,15,33,1
0.5579922869338297,6.8607752265108255,9.51237570871128,47.61904761904761,2.2011058651039215,21,65,7,20,33,2
0.5569421040616824,4.256249524522979,7.485611195780864,25.0,2.3005623580868564,20,65,3,25,33,1
0.5559314100872753,10.357554745709711,19.598938012348853,32.5,1.8781136233722624,40,70,5,25,33,3
0.5527902280423704,7.9320769990476165,17.23012261381889,38.88888888888889,1.878503582315407,36,75,7,25,25,3
0.5459939964098278,2.8054238983396016,5.238417081060066,37.5,2.1352065020430464,16,75,5,20,25,1
0.5448100996520168,1.8566582917501548,3.6362285848559077,60.0,1.9369111496618656,15,75,7,10,25,1
0.5445658264880792,5.47786327659498,11.150989651213933,23.684210526315788,2.0874209749442914,38,75,3,25,25,2
0.5410556381725788,2.5981963850886354,4.785599356681004,58.82352941176471,1.8324442536155672,17,75,7,10,33,1
0.5388514950923184,5.485638110732491,12.683092829878284,33.33333333333333,2.0842253265824926,27,65,5,25,25,2
0.5368328981464701,7.276294410685262,16.464702012302475,33.33333333333333,2.0237145921606587,27,65,5,25,33,2
0.5362018158175799,5.610244644961931,13.364392967051558,22.22222222222222,1.8965606916333089,45,65,3,25,25,3
0.5359946619177459,6.702346561718143,11.704160562442858,44.0,1.9257895332408934,25,75,7,20,33,2
0.5356580102046149,5.024108783994513,8.940841776288888,44.0,1.9655190946960928,25,75,7,20,25,2
0.5304344325454395,4.022042371433048,8.508251798499094,23.809523809523807,2.152776618882272,21,70,3,25,33,1
0.530289039571561,3.0256254976253834,6.506363939634118,23.809523809523807,2.186318055035773,21,70,3,25,25,1
0.5226572753650522,3.834455681434187,7.365750020572595,50.0,1.8690912326431133,24,65,7,15,25,2
0.5223949517309657,5.09464079852821,9.727457936926482,50.0,1.8316613439930591,24,65,7,15,33,2
0.5195648366884734,4.623377911651879,10.268373733970614,37.03703703703704,2.0317510228610516,27,70,5,20,25,2
0.5195183325218075,8.505744375105811,16.93677079872318,42.857142857142854,1.7636800128012338,35,75,7,20,33,3
0.5183212763541483,6.422110732345729,16.387953412818664,21.951219512195124,1.8126209973999807,41,65,3,25,33,3
0.5176844621627245,4.363628554238885,8.861385989783873,28.125,2.1343798626795394,32,65,3,20,25,2
0.5103659757495167,2.205454389928132,3.6362285848558997,50.0,1.9231003577180374,14,70,7,15,25,1
0.5037800609381746,3.79054152567915,8.508266085197883,22.727272727272727,2.0332289542971185,22,75,3,25,33,1
0.5021495296265693,2.1124358112904726,5.238702138917163,41.17647058823529,1.8841154836643943,17,70,5,15,25,1
0.4987867297188488,5.548027924075509,12.541779487190496,27.27272727272727,1.998562836435267,33,65,3,20,33,2
0.4944677998343656,5.779959773230834,13.402094005230031,26.53061224489796,1.9083826499461847,49,75,3,20,25,3
